 Populating box and setting intial velocities
 Beginning Simulation:           50 steps, with           10 particles.
   4.28401136       1.08219433       2.93581605      -8.44872665    
   2.18288565       2.94945240      -3.26768756       8.32599640    
 Step           42 complete
   1.64095449      0.657688618      -4.10229158      -7.94803143    
   4.90738535       2.33775043      -6.07194853       6.56745338    
   2.46732140       1.61623609      -4.64580107       7.64307117    
   2.25971413       3.20741892      -4.73778105      -7.58639812    
  0.725190163       3.84900793E-02 -0.597853720      -8.92426872    
   2.08742952       2.12279940       8.32207584      -3.27766013    
   3.06106853       3.98802757       5.84882736      -6.76692104    
   3.82962060      0.704027236       6.81730604      -5.79002094    
   4.57759285      0.237321645       2.93581605      -8.44872665    
   1.85611689       3.78205204      -3.26768756       8.32599640    
 Step           43 complete
   1.23072529       1.45249176      -4.10229158       7.94803143    
   4.30019045       2.99449587      -6.07194853       6.56745338    
   2.00274134       2.38054323      -4.64580107       7.64307117    
   1.78593600       2.44877911      -4.73778105      -7.58639812    
  0.665404797      0.930916965     -0.597853720       8.92426872    
   2.91963720       1.79503334       8.32207584      -3.27766013    
   3.64595127       3.31133556       5.84882736      -6.76692104    
   4.51135111      0.125025138       6.81730604      -5.79002094    
   4.87117434       1.08219433       2.93581605       8.44872665    
   1.52934813       4.61465168      -3.26768756       8.32599640    
 Step           44 complete
  0.820496142       2.24729490      -4.10229158       7.94803143    
   3.69299555       3.65124130      -6.07194853       6.56745338    
   1.53816128       3.14485025      -4.64580107       7.64307117    
   1.31215787       1.69013929      -4.73778105      -7.58639812    
  0.605619431       1.82334387     -0.597853720       8.92426872    
   3.75184488       1.46726727       8.32207584      -3.27766013    
   4.23083401       2.63464355       5.84882736      -6.76692104    
   4.80691814      0.704027236      -6.81730604       5.79002094    
   4.83524418       1.92706704      -2.93581605       8.44872665    
   1.20257938       4.55274868      -3.26768756      -8.32599640    
 Step           45 complete
  0.410266966       3.04209805      -4.10229158       7.94803143    
   3.08580065       4.30798674      -6.07194853       6.56745338    
   1.07358122       3.90915728      -4.64580107       7.64307117    
  0.838379741      0.931499481      -4.73778105      -7.58639812    
  0.545834064       2.71577072     -0.597853720       8.92426872    
   4.58405256       1.13950121       8.32207584      -3.27766013    
